Country,1990_Population,2018_Population,1990_pop_per,2018_pop_per,increase
China,"300,166","823,828",26,59,33
Costa Rica,"1,560","3,967",50,79,29
Sao Tome and Principe,52,154,44,73,29
Dominican Republic,"3,940","8,616",55,81,26
Haiti,"2,007","6,149",29,55,26
Malaysia,"8,978","23,973",50,76,26
Albania,"1,197","1,729",36,60,24
Indonesia,"55,483","148,085",31,55,24
Upper middle income,"915,753","1,859,597",42,66,24
El Salvador,"2,597","4,624",49,72,23
"Gambia, The",366,"1,397",38,61,23
Cabo Verde,149,357,44,66,22
Netherlands,"10,269","15,765",69,91,22
Algeria,"13,417","30,670",52,73,21
Thailand,"16,642","34,679",29,50,21
Ghana,"5,384","16,687",36,56,20
Nigeria,"28,259","98,611",30,50,20
"Iran, Islamic Rep.","31,751","61,267",56,75,19
Oman,"1,198","4,083",66,85,19
Turks and Caicos Islands,9,35,74,93,19
Jordan,"2,613","9,058",73,91,18
Bangladesh,"20,439","59,108",20,37,17
Honduras,"2,005","5,474",40,57,17
Portugal,"4,783","6,706",48,65,17
Turkey,"31,923","61,858",59,75,16
Vietnam,"13,773","34,317",20,36,16
Japan,"95,542","115,921",77,92,15
Fiji,303,497,42,56,14
Morocco,"12,005","22,501",48,62,14
Panama,"1,332","2,828",54,68,14
South Africa,"19,150","38,340",52,66,14
Belarus,"6,723","7,454",66,79,13
Benin,"1,717","5,434",34,47,13
Brazil,"110,146","181,336",74,87,13
Togo,"1,079","3,290",29,42,13
Brunei Darussalam,172,333,66,78,12
Colombia,"23,000","40,105",69,81,12
Cote d'Ivoire,"4,692","12,730",39,51,12
Guinea-Bissau,301,813,31,43,12
World,"2,271,139","4,195,080",43,55,12
Faroe Islands,14,20,31,42,11
New Caledonia,102,201,60,71,11
St. Vincent and the Grenadines,45,58,41,52,11
Tunisia,"4,776","7,974",58,69,11
Luxembourg,309,553,81,91,10
Middle East & North Africa,"139,667","293,463",55,65,10
Norway,"3,052","4,369",72,82,10
Palau,10,14,70,80,10
Timor-Leste,154,388,21,31,10
Bosnia and Herzegovina,"1,752","1,604",39,48,9
Bulgaria,"5,787","5,269",66,75,9
Ecuador,"5,636","10,903",55,64,9
Guatemala,"3,800","8,346",42,51,9
Mexico,"59,951","101,149",71,80,9
Peru,"15,207","24,922",69,78,9
South Asia,"284,109","616,754",25,34,9
Greece,"7,287","8,485",71,79,8
India,"223,096","460,296",26,34,8
Seychelles,34,55,49,57,8
United Arab Emirates,"1,445","8,333",79,87,8
Virgin Islands (U.S.),91,102,88,96,8
West Bank and Gaza,"1,339","3,480",68,76,8
Dominica,44,50,63,70,7
Jamaica,"1,196","1,634",49,56,7
"Korea, Rep.","31,656","42,038",74,81,7
North America,"209,232","298,953",75,82,7
San Marino,22,33,90,97,7
Saudi Arabia,"12,432","28,255",77,84,7
United States,"187,966","268,720",75,82,7
American Samoa,38,48,81,87,6
Croatia,"2,438","2,328",51,57,6
Finland,"3,958","4,709",79,85,6
France,"43,127","53,870",74,80,6
Ireland,"2,000","3,075",57,63,6
Lebanon,"2,330","6,068",83,89,6
Myanmar,"10,434","16,423",25,31,6
Nicaragua,"2,215","3,784",53,59,6
Pakistan,"32,914","77,811",31,37,6
Qatar,442,"2,758",93,99,6
Uruguay,"2,767","3,288",89,95,6
Argentina,"28,373","40,877",87,92,5
Chile,"11,054","16,400",83,88,5
Malawi,"1,087","3,073",12,17,5
Malta,320,459,90,95,5
Slovenia,"1,007","1,131",50,55,5
Spain,"29,287","37,588",75,80,5
Syrian Arab Republic,"6,090","9,157",49,54,5
United Kingdom,"44,733","55,427",78,83,5
Canada,"21,206","30,169",77,81,4
Cuba,"7,774","8,735",73,77,4
Eswatini,166,270,20,24,4
French Polynesia,116,172,58,62,4
Georgia,"2,643","2,185",55,59,4
Germany,"58,080","64,096",73,77,4
Guam,118,157,91,95,4
"Korea, Dem. People’s Rep.","11,848","15,815",58,62,4
Sweden,"7,112","8,896",83,87,4
"Venezuela, RB","16,547","25,466",84,88,4
"Bahamas, The",205,320,80,83,3
Denmark,"4,362","5,091",85,88,3
Grenada,32,40,33,36,3
Iceland,231,331,91,94,3
Italy,"37,846","42,560",67,70,3
Belgium,"9,606","11,199",96,98,2
Israel,"4,211","8,209",90,92,2
Kuwait,"2,053","4,137",98,100,2
New Zealand,"2,822","4,189",85,87,2
Northern Mariana Islands,41,52,90,92,2
Ukraine,"34,641","30,947",67,69,2
Bahrain,437,"1,401",88,89,1
Comoros,115,241,28,29,1
Isle of Man,36,44,52,53,1
Puerto Rico,"3,287","2,988",93,94,1
Romania,"12,347","10,515",53,54,1
Russian Federation,"108,601","107,539",73,74,1